id,listing_url,scrape_id,last_scraped,source,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
43345284,https://www.airbnb.com/rooms/43345284,2.03E+13,6/22/2025,city scrape,Hong Kong 看得見風景的房子 . 享受大自然的樂趣,345222487,,,,,f,,,,None,,,"Hong Kong, New Territories, Hong Kong",Sai Kung,Tent,Entire home/apt,4,1,1 bath,2,2,$1.00 ,300,728,300,300,1125,1125,300,1125,,t,30,60,90,365,6/22/2025,0,0,0,193,0,0,0,,,,,,,,,,,f,1,1,0,0,
16043963,https://www.airbnb.com/rooms/16043963,2.03E+13,6/21/2025,city scrape,Bedspace available in Tsim Sha Tsui,67709885,Steven,within a day,75%,43%,f,Mong Kok,281,323,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,1,1,1 bath,1,1,$85.00 ,30,1125,30,30,1125,1125,30,1125,,t,28,58,88,363,6/21/2025,0,0,0,192,0,0,0,,,,,,,,,,,f,281,24,257,0,
32100077,https://www.airbnb.com/rooms/32100077,2.03E+13,6/21/2025,city scrape,"Single Rm@Inn Square, Jordan, TST #16",34642523,Inn Square,within an hour,100%,97%,f,Tai Kok Sui,16,34,"['email', 'phone']",t,t,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Entire rental unit,Entire home/apt,1,1,1 bath,0,1,$85.00 ,28,1125,28,28,1125,1125,28,1125,,t,0,0,0,0,6/21/2025,7,3,0,0,1,168,14280,7/21/2019,3/2/2025,4.43,4.14,3.86,4.57,4.14,4.86,4.43,,t,10,5,5,0,0.1
1.30E+18,https://www.airbnb.com/rooms/1303581377557991603,2.03E+13,6/21/2025,city scrape,Shared room w/ 3 others near MTR,4584648,Ivy,within a day,50%,37%,f,Mong Kok,423,507,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,1,2,2 shared baths,1,1,$86.00 ,29,365,29,29,365,365,29,365,,t,29,59,89,364,6/21/2025,0,0,0,193,0,0,0,,,,,,,,,,,f,351,12,338,1,
8.43E+17,https://www.airbnb.com/rooms/842958040086823675,2.03E+13,6/21/2025,city scrape,Shared room. Bedspace. Near MTR,4584648,Ivy,within a day,50%,37%,f,Mong Kok,423,507,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,1,2,2 shared baths,1,1,$88.00 ,29,365,29,29,365,365,29,365,,t,29,59,89,364,6/21/2025,0,0,0,193,0,0,0,,,,,,,,,,,f,351,12,338,1,
1.29E+18,https://www.airbnb.com/rooms/1285885058077294012,2.03E+13,6/22/2025,city scrape,Bedspace in Prince Edward,4584648,Ivy,within a day,50%,37%,f,Mong Kok,423,507,"['email', 'phone']",t,t,,Yau Tsim Mong,Shared room in rental unit,Shared room,1,2,2 shared baths,,1,$88.00 ,29,365,29,29,365,365,29,365,,t,29,59,89,364,6/22/2025,0,0,0,192,0,0,0,,,,,,,,,,,f,351,12,338,1,
1.29E+18,https://www.airbnb.com/rooms/1285889599320907762,2.03E+13,6/21/2025,city scrape,Shared room. Bedspace available.,7518056,Jovee,within a day,100%,67%,f,Wan Chai,216,309,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,1,2,2 shared baths,1,2,$88.00 ,29,365,29,29,365,365,29,365,,t,29,59,89,364,6/21/2025,0,0,0,193,0,0,0,,,,,,,,,,,f,215,10,205,0,
1.29E+18,https://www.airbnb.com/rooms/1285897683170027037,2.03E+13,6/21/2025,city scrape,Shared Room. Cheap. bedspace3,7518056,Jovee,within a day,100%,67%,f,Wan Chai,216,309,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,1,2,2 shared baths,1,1,$88.00 ,29,365,29,29,365,365,29,365,,t,29,59,89,364,6/21/2025,0,0,0,193,0,0,0,,,,,,,,,,,f,215,10,205,0,
1.04E+18,https://www.airbnb.com/rooms/1042307793639380883,2.03E+13,6/21/2025,city scrape,Shared room in Tsim Sha Tsui,7518056,Jovee,within a day,100%,67%,f,Wan Chai,216,309,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,1,2,2 baths,1,1,$90.00 ,29,365,29,29,365,365,29,365,,t,0,19,49,230,6/21/2025,0,0,0,153,0,0,0,,,,,,,,,,,f,215,10,205,0,
1.31E+18,https://www.airbnb.com/rooms/1307746479636468829,2.03E+13,6/21/2025,city scrape,Bedspace for 1 in shared room,4584648,Ivy,within a day,50%,37%,f,Mong Kok,423,507,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,1,2,2 shared baths,1,1,$90.00 ,30,365,30,30,365,365,30,365,,t,29,59,89,364,6/21/2025,0,0,0,193,0,0,0,,,,,,,,,,,t,351,12,338,1,
